,Movie_Title,Year,Rating,Movie Title
0,,1994,9.2,The Shawshank Redemption
1,,1972,9.2,The Godfather
2,,2008,9.0,The Dark Knight
3,,1974,9.0,The Godfather Part II
4,,1957,9.0,12 Angry Men
5,,1993,8.9,Schindler's List
6,,2003,8.9,The Lord of the Rings: The Return of the King
7,,1994,8.8,Pulp Fiction
8,,2001,8.8,The Lord of the Rings: The Fellowship of the Ring
9,,1966,8.8,"Il buono, il brutto, il cattivo"
10,,2023,8.8,Spider-Man: Across the Spider-Verse
11,,1994,8.8,Forrest Gump
12,,1999,8.7,Fight Club
13,,2002,8.7,The Lord of the Rings: The Two Towers
14,,2010,8.7,Inception
15,,1980,8.7,Star Wars: Episode V - The Empire Strikes Back
16,,1999,8.7,The Matrix
17,,1990,8.7,GoodFellas
18,,1975,8.6,One Flew Over the Cuckoo's Nest
19,,1995,8.6,Se7en
20,,1946,8.6,It's a Wonderful Life
21,,1954,8.6,Shichinin no samurai
22,,1991,8.6,The Silence of the Lambs
23,,1998,8.6,Saving Private Ryan
24,,2002,8.6,Cidade de Deus
25,,2014,8.6,Interstellar
26,,1997,8.6,La vita è bella
27,,1999,8.6,The Green Mile
28,,1977,8.5,Star Wars
29,,1991,8.5,Terminator 2: Judgment Day
30,,1985,8.5,Back to the Future
31,,2001,8.5,Sen to Chihiro no kamikakushi
32,,2002,8.5,The Pianist
33,,1960,8.5,Psycho
34,,2019,8.5,Gisaengchung
35,,1994,8.5,Léon
36,,1994,8.5,The Lion King
37,,2000,8.5,Gladiator
38,,1998,8.5,American History X
39,,2006,8.5,The Departed
40,,2014,8.5,Whiplash
41,,2006,8.5,The Prestige
42,,1995,8.5,The Usual Suspects
43,,1942,8.5,Casablanca
44,,1988,8.5,Hotaru no haka
45,,1962,8.5,Seppuku
46,,2011,8.5,The Intouchables
47,,1936,8.4,Modern Times
48,,1968,8.4,Once Upon a Time in the West
49,,1988,8.4,Nuovo Cinema Paradiso
50,,1954,8.4,Rear Window
51,,1979,8.4,Alien
52,,1931,8.4,City Lights
53,,1979,8.4,Apocalypse Now
54,,2000,8.4,Memento
55,,2012,8.4,Django Unchained
56,,1981,8.4,Raiders of the Lost Ark
57,,2008,8.4,WALL·E
58,,2006,8.4,The Lives of Others
59,,1950,8.4,Sunset Blvd.
60,,1957,8.4,Paths of Glory
61,,2018,8.4,Avengers: Infinity War
62,,1980,8.4,The Shining
63,,1940,8.4,The Great Dictator
64,,1957,8.4,Witness for the Prosecution
65,,2018,8.4,Spider-Man: Into the Spider-Verse
66,,1986,8.3,Aliens
67,,1999,8.3,American Beauty
68,,2012,8.3,The Dark Knight Rises
69,,1964,8.3,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
70,,2009,8.3,Inglourious Basterds
71,,2003,8.3,Oldeuboi
72,,2017,8.3,Coco
73,,1984,8.3,Amadeus
74,,1995,8.3,Toy Story
75,,1995,8.3,Braveheart
76,,1981,8.3,Das Boot
77,,2019,8.3,Joker
78,,2019,8.3,Avengers: Endgame
79,,1997,8.3,Mononoke-hime
80,,1997,8.3,Good Will Hunting
81,,1984,8.3,Once Upon a Time in America
82,,2016,8.3,Kimi no na wa.
83,,2009,8.3,3 Idiots
84,,1952,8.3,Singin' in the Rain
85,,1963,8.3,Tengoku to jigoku
86,,2000,8.3,Requiem for a Dream
87,,2018,8.3,Capharnaüm
88,,2010,8.3,Toy Story 3
89,,1983,8.3,Star Wars: Episode VI - Return of the Jedi
90,,1985,8.3,Idi i smotri
91,,2004,8.3,Eternal Sunshine of the Spotless Mind
92,,1968,8.3,2001: A Space Odyssey
93,,2012,8.3,Jagten
94,,1992,8.3,Reservoir Dogs
95,,1962,8.2,Lawrence of Arabia
